time,open,high,low,close,tick_volume,spread,real_volume,sl_buy,tp_buy,sl_sell,tp_sell,result_buy,close_buy,close_buy_hor,m_buy,result_sell,close_sell,close_sell_hor,m_sell,signal
2025-01-02 01:00:00,21274.25,21317.75,21252.0,21314.13,857,450,0,21303.472949000003,21335.444102,21324.787051,21292.815898,0.0,0.0,0.0,0.0,1.0,21314.13,21215.12,4.950500000000102,-1
2025-01-02 01:05:00,21313.87,21318.25,21300.12,21306.13,564,450,0,21295.476949,21327.436102,21316.783051000002,21284.823898000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 01:10:00,21303.75,21304.12,21295.38,21298.38,319,450,0,21287.730824000002,21319.678352000003,21309.029176,21277.081648,0.0,0.0,0.0,0.0,1.0,21298.38,21236.25,3.106500000000051,-1
2025-01-02 01:15:00,21298.0,21309.0,21291.25,21293.12,308,450,0,21282.473454,21314.413092,21303.766546,21271.826908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 01:20:00,21293.12,21301.38,21284.62,21295.75,356,450,0,21285.102139,21317.045722,21306.397861,21274.454278,0.0,0.0,0.0,0.0,1.0,21295.75,21260.75,1.75,-1
2025-01-02 01:25:00,21295.88,21300.12,21289.5,21295.88,309,450,0,21285.232074,21317.175852,21306.527926000002,21274.584148,0.0,0.0,0.0,0.0,1.0,21295.88,21257.38,1.925,-1
2025-01-02 01:30:00,21296.0,21302.88,21288.62,21289.0,326,450,0,21278.355514,21310.288972,21299.644486,21267.711028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 01:35:00,21289.25,21290.13,21248.62,21266.5,690,450,0,21255.866764,21287.766472,21277.133236,21245.233528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 01:40:00,21266.38,21269.63,21257.0,21257.37,388,450,0,21246.741329,21278.627342,21267.998670999998,21236.112658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 01:45:00,21256.88,21260.5,21242.25,21250.25,549,450,0,21239.624889,21271.500222,21260.875111,21228.999778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 01:50:00,21250.5,21265.5,21249.37,21263.0,399,450,0,21252.368514,21284.262972,21273.631486,21241.737028,0.0,0.0,0.0,0.0,0.0,21263.0,21267.87,-0.24349999999994906,0
2025-01-02 01:55:00,21263.12,21267.0,21259.75,21264.75,213,450,0,21254.117639,21286.014722,21275.382361,21243.485278,0.0,0.0,0.0,0.0,0.0,21264.75,21301.88,-1.8565000000000509,0
2025-01-02 02:00:00,21266.38,21266.75,21224.5,21224.5,708,150,0,21213.887764,21245.724472,21235.112236,21203.275528,1.0,21224.5,21296.75,3.6125,0.0,0.0,0.0,0.0,1
2025-01-02 02:05:00,21223.75,21236.5,21220.25,21234.25,642,450,0,21223.632889,21255.484222,21244.867111,21213.015778,0.0,0.0,0.0,0.0,0.0,21234.25,21291.5,-2.8625,0
2025-01-02 02:10:00,21234.75,21234.75,21200.25,21209.87,722,450,0,21199.265079,21231.079842,21220.474920999997,21188.660158,1.0,21209.87,21307.25,4.869000000000051,0.0,0.0,0.0,0.0,1
2025-01-02 02:15:00,21210.25,21215.62,21119.62,21149.75,1382,450,0,21139.175139,21170.899722,21160.324861,21128.600278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 02:20:00,21149.62,21154.13,21140.13,21152.25,720,450,0,21141.673889,21173.402222,21162.826111,21131.097778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 02:25:00,21152.63,21160.75,21131.75,21142.0,707,450,0,21131.429014,21163.141972,21152.570986,21120.858028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 02:30:00,21141.13,21173.12,21131.37,21169.0,890,450,0,21158.415514,21190.168972,21179.584486,21147.831028,0.0,0.0,0.0,0.0,0.0,21169.0,21293.5,-6.225,0
2025-01-02 02:35:00,21169.0,21186.88,21160.37,21181.63,675,450,0,21171.039199000003,21202.811602,21192.220801,21160.448398,0.0,0.0,0.0,0.0,0.0,21181.63,21298.5,-5.843499999999949,0
2025-01-02 02:40:00,21183.13,21215.62,21179.0,21215.12,675,450,0,21204.512454,21236.335091999998,21225.727546,21193.904908,0.0,0.0,0.0,0.0,0.0,21215.12,21297.63,-4.125500000000102,0
2025-01-02 02:45:00,21215.25,21237.88,21213.13,21224.75,828,450,0,21214.137639,21245.974722,21235.362361,21203.525278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 02:50:00,21224.25,21241.12,21218.87,21236.25,671,450,0,21225.631889,21257.486222,21246.868111,21215.013778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 02:55:00,21235.62,21246.0,21224.25,21229.0,649,450,0,21218.385514,21250.228972,21239.614486,21207.771028,1.0,21229.0,21321.75,4.6375,0.0,0.0,0.0,0.0,1
2025-01-02 03:00:00,21229.0,21274.62,21229.0,21260.75,1221,450,0,21250.119639,21282.010722,21271.380361,21239.489278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 03:05:00,21260.88,21279.75,21256.5,21257.38,865,450,0,21246.751324,21278.637352,21268.008676,21236.122648,1.0,21257.38,21325.37,3.399499999999898,0.0,0.0,0.0,0.0,1
2025-01-02 03:10:00,21257.25,21274.25,21257.25,21271.5,632,450,0,21260.864264,21292.771472,21282.135736,21250.228528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 03:15:00,21271.5,21284.25,21265.63,21266.37,814,450,0,21255.736828999998,21287.636341999998,21277.003171,21245.103658,1.0,21266.37,21320.13,2.688000000000102,0.0,0.0,0.0,0.0,1
2025-01-02 03:20:00,21266.0,21294.5,21262.63,21292.13,876,450,0,21281.483949,21313.422102,21302.776051,21270.837898,0.0,0.0,0.0,0.0,0.0,21292.13,21315.13,-1.15,0
2025-01-02 03:25:00,21293.25,21296.13,21280.12,21280.5,650,450,0,21269.859764,21301.780472,21291.140236,21259.219528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 03:30:00,21280.37,21288.63,21265.25,21267.87,905,450,0,21257.236079,21289.137842,21278.503921,21246.602157999998,1.0,21267.87,21311.25,2.169000000000051,0.0,0.0,0.0,0.0,1
2025-01-02 03:35:00,21268.5,21306.75,21261.13,21301.88,1023,450,0,21291.229074000003,21323.181852,21312.530926,21280.578148,0.0,0.0,0.0,0.0,0.0,21301.88,21318.75,-0.8434999999999491,0
2025-01-02 03:40:00,21301.75,21303.75,21290.75,21296.75,751,450,0,21286.101639,21318.046722,21307.398361,21275.453278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 03:45:00,21296.75,21301.5,21285.62,21291.5,707,450,0,21280.854264,21312.791472,21302.145736,21270.208528,1.0,21291.5,21328.37,1.843499999999949,0.0,0.0,0.0,0.0,1
2025-01-02 03:50:00,21290.75,21309.88,21288.25,21307.25,633,450,0,21296.596389,21328.557222,21317.903611,21285.942778,0.0,0.0,0.0,0.0,0.0,21307.25,21323.0,-0.7875,0
2025-01-02 03:55:00,21307.0,21308.0,21285.87,21292.88,551,450,0,21282.233574,21314.172852,21303.526426,21271.587148000002,1.0,21292.88,21316.12,1.1619999999998982,0.0,0.0,0.0,0.0,1
2025-01-02 04:00:00,21291.88,21297.87,21286.13,21293.12,634,450,0,21282.473454,21314.413092,21303.766546,21271.826908,1.0,21293.12,21303.75,0.5315000000000509,0.0,0.0,0.0,0.0,1
