time,str_cdl,macd_ao_u,macd_ao_u_1,macd_ao_u_2,macd_ao_u_3,macd_ao_d,macd_ao_d_1,macd_ao_d_2,macd_ao_d_3,rsi_3_20,rsi_3_20_1,rsi_3_20_2,rsi_3_20_3,rsi_3_30,rsi_3_30_1,rsi_3_30_2,rsi_3_30_3,rsi_3_80,rsi_3_80_1,rsi_3_80_2,rsi_3_80_3,rsi_3_70,rsi_3_70_1,rsi_3_70_2,rsi_3_70_3,chandb,chands,chandb_sig,chands_sig,chandb_1,chandb_2,chandb_3,chands_1,chands_2,chands_3,chandb_sig_1,chandb_sig_2,chandb_sig_3,chands_sig_1,chands_sig_2,chands_sig_3,zlsmau,zlsmau_1,zlsmau_2,zlsmau_3,zlsmad,zlsmad_1,zlsmad_2,zlsmad_3,ema_50u,ema_50u_1,ema_50u_2,ema_50u_3,ema_50d,ema_50d_1,ema_50d_2,ema_50d_3,adx_30,adx_30_1,adx_30_2,adx_30_3,adx_25,adx_25_1,adx_25_2,adx_25_3,rsi_3,ema_50,zlsma,rsi,macd,macd_signal,sma_20,sma_50,ema_20,ema_50,bb_upper,bb_lower,bb_upper,bb_lower,stoch_k,stoch_d,stoch_k,stoch_d,atr,williams_r,cci,momentum,roc
2025-06-02 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.750024539577936,21292.889551918124,0.0,32.29846785445143,-8.890034033331176,-5.973734125686625,21287.335,21300.278,21284.271321927667,21292.889551918124,21314.75049888195,21259.91950111805,21314.75049888195,21259.91950111805,2.075471698117326,6.204714584676819,2.075471698117326,6.204714584676819,12.72857142857122,-97.92452830188267,-157.90870488320442,99.7630348432628,-0.23696515673720092
2025-06-02 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.650752688974777,21291.440856589583,0.0,32.384046736162716,-9.589689908178116,-6.696933539662483,21285.829999999998,21299.091999999997,21282.017513493243,21291.440856589583,21315.63375108851,21256.026248911487,21315.63375108851,21256.026248911487,6.329113924050716,5.164236075844441,6.329113924050716,5.164236075844441,12.464285714285454,-93.67088607594928,-143.1229910336704,99.83377277113468,-0.16622722886531816
2025-06-02 05:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.10972343248316,21290.64808369149,0.0,42.55075717848708,-9.008675876651978,-7.1592862303679725,21284.7,21297.76,21281.22578253474,21290.64808369149,21314.538054120247,21254.861945879755,21314.538054120247,21254.861945879755,31.69014084507083,13.364908822412957,31.69014084507083,13.364908822412957,13.392857142856883,-68.30985915492917,-93.01948051949395,99.93376503498476,-0.06623496501524835
2025-06-02 05:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.987984548072795,21289.61876001847,0.0,39.50030155721609,-8.937471364042722,-7.514925855942397,21283.72,21296.474,21279.91682209343,21289.61876001847,21314.492106302856,21252.947893697146,21314.492106302856,21252.947893697146,20.774647887322928,19.59796755214816,20.774647887322928,19.59796755214816,13.414285714285663,-79.22535211267707,-77.89750328515257,99.91872153198167,-0.08127846801832889
2025-06-02 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.14941049276791,21288.68929603101,0.0,40.31780183311231,-8.693134287306748,-7.750568919786161,21282.785,21295.616,21278.83894498967,21288.68929603101,21314.221905901024,21251.348094098976,21314.221905901024,21251.348094098976,23.118279569895385,25.19435610076305,23.118279569895385,25.19435610076305,12.642857142856883,-76.88172043010462,-73.72916216091134,99.9811965128933,-0.018803487106683933
2025-06-02 05:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.90349939816791,21288.13630359891,0.0,45.7048289899669,-7.812231353636889,-7.762901464233215,21281.91,21294.854,21278.581808947027,21288.13630359891,21313.04633179893,21250.77366820107,21313.04633179893,21250.77366820107,47.55244755244934,30.48179166988922,47.55244755244934,30.48179166988922,12.20714285714296,-52.44755244755067,-40.971077219005096,99.97791441601254,-0.022085583987468026
2025-06-02 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.25992524523613,21287.60587963338,0.0,45.64566910073909,-7.040865676674002,-7.6184937664280294,21280.825,21294.05,21278.339793518237,21287.60587963338,21311.138719318908,21250.511280681094,21311.138719318908,21250.511280681094,55.464480874317154,42.04506933222063,55.464480874317154,42.04506933222063,11.578571428571324,-44.535519125682846,-30.120345909806566,99.99201043343399,-0.007989566566017212
2025-06-02 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.75387480548361,21286.961308259662,0.0,43.6965126329839,-6.608556991646765,-7.416505806890434,21279.335,21293.086,21277.81520912916,21286.961308259662,21308.01745566816,21250.65254433184,21308.01745566816,21250.65254433184,54.98392282957989,52.66695041878213,54.98392282957989,52.66695041878213,11.20714285714296,-45.01607717042011,-26.253464348705815,99.97697124930973,-0.02302875069028189
2025-06-02 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.28638925147706,21286.16933315234,0.0,41.26515328964094,-6.518031596555375,-7.236810534538729,21277.559999999998,21292.107999999997,21276.949246790537,21286.16933315234,21304.06131277777,21251.058687222227,21304.06131277777,21251.058687222227,45.13888888889003,51.862430864262365,45.13888888889003,51.862430864262365,10.507142857143013,-54.86111111110997,-60.45013095983053,99.98777698641601,-0.012223013583992293
2025-06-02 05:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.78368921139848,21285.181185590256,0.0,38.24665832958311,-6.799219999109482,-7.1492922598011726,21275.645,21291.07,21275.650540169834,21285.181185590256,21300.286725418013,21251.003274581988,21300.286725418013,21251.003274581988,26.388888888884505,42.17056686911814,26.388888888884505,42.17056686911814,10.128571428571377,-73.6111111111155,-88.24502216050436,99.99670805890693,-0.003291941093068948
