date,time,open,high,low,close,tickvol,vol,spread
2025.09.18,00:32:00,146.909,146.909,146.909,146.909,1,0,85
2025.09.18,00:33:00,146.909,146.909,146.909,146.909,1,0,77
2025.09.18,00:34:00,146.909,146.914,146.902,146.914,4,0,76
2025.09.18,00:35:00,146.914,146.914,146.914,146.914,1,0,70
2025.09.18,00:36:00,146.914,146.914,146.913,146.913,2,0,68
2025.09.18,00:37:00,146.913,146.913,146.912,146.912,2,0,66
2025.09.18,00:38:00,146.912,146.914,146.912,146.914,2,0,57
2025.09.18,00:39:00,146.914,146.914,146.899,146.905,8,0,55
2025.09.18,00:40:00,146.906,146.908,146.898,146.907,18,0,62
2025.09.18,00:41:00,146.907,146.909,146.898,146.903,23,0,58
2025.09.18,00:42:00,146.903,146.912,146.902,146.904,38,0,56
2025.09.18,00:43:00,146.903,146.911,146.856,146.911,29,0,43
2025.09.18,00:44:00,146.913,146.932,146.852,146.885,56,0,17
2025.09.18,00:45:00,146.911,146.931,146.911,146.920,17,0,23
2025.09.18,00:46:00,146.920,146.927,146.919,146.925,6,0,11
2025.09.18,00:47:00,146.925,146.925,146.924,146.924,2,0,45
2025.09.18,00:48:00,146.924,146.924,146.842,146.886,29,0,45
2025.09.18,00:49:00,146.886,146.886,146.870,146.880,19,0,33
2025.09.18,00:50:00,146.880,146.884,146.877,146.882,16,0,65
2025.09.18,00:51:00,146.882,146.882,146.879,146.879,11,0,68
2025.09.18,00:52:00,146.880,146.881,146.874,146.879,9,0,69
2025.09.18,00:53:00,146.879,146.919,146.876,146.899,32,0,36
2025.09.18,00:54:00,146.911,146.911,146.882,146.911,17,0,26
2025.09.18,00:55:00,146.911,146.911,146.881,146.902,18,0,32
2025.09.18,00:56:00,146.903,146.910,146.884,146.884,16,0,28
2025.09.18,00:57:00,146.884,146.928,146.869,146.922,34,0,47
2025.09.18,00:58:00,146.922,146.936,146.914,146.930,12,0,41
2025.09.18,00:59:00,146.930,146.945,146.874,146.928,33,0,27
2025.09.18,01:00:00,146.931,146.960,146.915,146.925,89,0,5
2025.09.18,01:01:00,146.932,146.943,146.922,146.935,55,0,0
2025.09.18,01:02:00,146.935,146.955,146.934,146.945,34,0,0
2025.09.18,01:03:00,146.947,146.948,146.938,146.939,34,0,0
2025.09.18,01:04:00,146.939,146.947,146.939,146.945,16,0,1
2025.09.18,01:05:00,146.949,146.957,146.949,146.957,23,0,0
2025.09.18,01:06:00,146.957,146.977,146.957,146.972,26,0,0
2025.09.18,01:07:00,146.977,146.988,146.975,146.975,34,0,1
2025.09.18,01:08:00,146.976,146.977,146.948,146.950,36,0,0
2025.09.18,01:09:00,146.958,146.975,146.958,146.974,21,0,0
2025.09.18,01:10:00,146.980,146.986,146.959,146.959,33,0,0
2025.09.18,01:11:00,146.959,146.959,146.936,146.940,33,0,1
2025.09.18,01:12:00,146.941,146.944,146.931,146.932,14,0,0
2025.09.18,01:13:00,146.937,146.939,146.926,146.938,15,0,0
2025.09.18,01:14:00,146.938,146.951,146.927,146.944,19,0,0
2025.09.18,01:15:00,146.951,146.956,146.949,146.953,29,0,0
2025.09.18,01:16:00,146.953,146.953,146.947,146.953,42,0,1
2025.09.18,01:17:00,146.957,146.957,146.940,146.951,37,0,0
2025.09.18,01:18:00,146.952,146.953,146.940,146.953,30,0,0
2025.09.18,01:19:00,146.953,146.954,146.944,146.945,24,0,0
2025.09.18,01:20:00,146.945,146.949,146.937,146.939,25,0,0
2025.09.18,01:21:00,146.940,146.949,146.936,146.943,22,0,0
2025.09.18,01:22:00,146.942,146.963,146.942,146.953,45,0,1
2025.09.18,01:23:00,146.953,146.953,146.934,146.935,19,0,0
2025.09.18,01:24:00,146.935,146.941,146.905,146.905,41,0,0
2025.09.18,01:25:00,146.905,146.919,146.894,146.917,40,0,0
2025.09.18,01:26:00,146.917,146.923,146.895,146.897,25,0,0
2025.09.18,01:27:00,146.897,146.900,146.892,146.893,34,0,1
2025.09.18,01:28:00,146.894,146.894,146.871,146.885,38,0,0
2025.09.18,01:29:00,146.885,146.895,146.884,146.887,28,0,0
2025.09.18,01:30:00,146.886,146.894,146.883,146.885,49,0,0
2025.09.18,01:31:00,146.886,146.896,146.879,146.884,62,0,0
2025.09.18,01:32:00,146.885,146.897,146.872,146.873,27,0,0
2025.09.18,01:33:00,146.871,146.888,146.860,146.865,39,0,1
2025.09.18,01:34:00,146.865,146.865,146.843,146.843,89,0,0
2025.09.18,01:35:00,146.844,146.862,146.844,146.848,37,0,0
2025.09.18,01:36:00,146.848,146.849,146.820,146.829,63,0,0
2025.09.18,01:37:00,146.829,146.844,146.827,146.843,50,0,0
2025.09.18,01:38:00,146.844,146.851,146.825,146.828,43,0,0
2025.09.18,01:39:00,146.829,146.833,146.816,146.822,37,0,1
2025.09.18,01:40:00,146.822,146.832,146.821,146.822,49,0,0
2025.09.18,01:41:00,146.822,146.822,146.809,146.812,19,0,1
2025.09.18,01:42:00,146.814,146.814,146.812,146.813,13,0,1
2025.09.18,01:43:00,146.812,146.813,146.807,146.808,29,0,1
2025.09.18,01:44:00,146.808,146.811,146.798,146.802,28,0,0
2025.09.18,01:45:00,146.804,146.838,146.804,146.807,55,0,0
2025.09.18,01:46:00,146.803,146.826,146.796,146.814,84,0,0
2025.09.18,01:47:00,146.813,146.833,146.810,146.823,59,0,1
2025.09.18,01:48:00,146.823,146.865,146.823,146.852,70,0,0
2025.09.18,01:49:00,146.843,146.867,146.839,146.862,53,0,1
2025.09.18,01:50:00,146.863,146.870,146.843,146.862,83,0,0
2025.09.18,01:51:00,146.863,146.863,146.843,146.850,35,0,0
2025.09.18,01:52:00,146.847,146.865,146.845,146.858,42,0,0
2025.09.18,01:53:00,146.857,146.862,146.842,146.842,47,0,0
2025.09.18,01:54:00,146.842,146.856,146.839,146.856,45,0,0
2025.09.18,01:55:00,146.856,146.856,146.839,146.839,32,0,0
2025.09.18,01:56:00,146.840,146.853,146.829,146.829,51,0,1
2025.09.18,01:57:00,146.829,146.837,146.827,146.836,35,0,0
2025.09.18,01:58:00,146.836,146.846,146.833,146.846,45,0,0
2025.09.18,01:59:00,146.846,146.856,146.836,146.842,41,0,0
2025.09.18,02:00:00,146.839,146.863,146.825,146.832,62,0,0
2025.09.18,02:01:00,146.832,146.844,146.829,146.829,41,0,0
2025.09.18,02:02:00,146.830,146.835,146.817,146.818,25,0,0
2025.09.18,02:03:00,146.818,146.841,146.817,146.817,50,0,0
2025.09.18,02:04:00,146.817,146.825,146.816,146.821,27,0,0
2025.09.18,02:05:00,146.817,146.817,146.791,146.802,31,0,0
2025.09.18,02:06:00,146.802,146.812,146.800,146.811,24,0,0
2025.09.18,02:07:00,146.811,146.821,146.798,146.798,28,0,0
2025.09.18,02:08:00,146.798,146.799,146.786,146.796,28,0,1
2025.09.18,02:09:00,146.795,146.833,146.790,146.832,42,0,0
2025.09.18,02:10:00,146.833,146.840,146.816,146.819,34,0,0
2025.09.18,02:11:00,146.819,146.822,146.786,146.795,56,0,0
2025.09.18,02:12:00,146.801,146.807,146.777,146.777,50,0,0
2025.09.18,02:13:00,146.778,146.784,146.769,146.778,52,0,0
2025.09.18,02:14:00,146.778,146.786,146.777,146.781,45,0,0
2025.09.18,02:15:00,146.784,146.791,146.775,146.788,36,0,0
2025.09.18,02:16:00,146.789,146.807,146.787,146.795,51,0,0
2025.09.18,02:17:00,146.795,146.808,146.785,146.801,53,0,0
2025.09.18,02:18:00,146.801,146.807,146.789,146.806,69,0,0
2025.09.18,02:19:00,146.803,146.807,146.797,146.804,54,0,0
2025.09.18,02:20:00,146.804,146.804,146.791,146.802,36,0,0
2025.09.18,02:21:00,146.803,146.808,146.798,146.801,42,0,0
2025.09.18,02:22:00,146.801,146.837,146.787,146.826,45,0,1
2025.09.18,02:23:00,146.826,146.837,146.826,146.836,34,0,0
2025.09.18,02:24:00,146.836,146.846,146.831,146.846,26,0,1
2025.09.18,02:25:00,146.846,146.874,146.844,146.844,50,0,0
2025.09.18,02:26:00,146.843,146.869,146.843,146.849,46,0,0
2025.09.18,02:27:00,146.848,146.857,146.833,146.853,61,0,0
2025.09.18,02:28:00,146.853,146.888,146.853,146.873,53,0,0
2025.09.18,02:29:00,146.873,146.874,146.854,146.856,34,0,0
2025.09.18,02:30:00,146.856,146.856,146.831,146.843,80,0,0
2025.09.18,02:31:00,146.843,146.878,146.843,146.878,45,0,1
2025.09.18,02:32:00,146.878,146.887,146.875,146.877,28,0,0
2025.09.18,02:33:00,146.877,146.877,146.872,146.874,23,0,0
2025.09.18,02:34:00,146.874,146.883,146.870,146.870,41,0,0
2025.09.18,02:35:00,146.870,146.908,146.870,146.903,66,0,0
2025.09.18,02:36:00,146.903,146.908,146.886,146.886,43,0,0
2025.09.18,02:37:00,146.886,146.886,146.842,146.842,65,0,0
2025.09.18,02:38:00,146.842,146.869,146.842,146.868,53,0,0
2025.09.18,02:39:00,146.852,146.855,146.841,146.847,53,0,1
2025.09.18,02:40:00,146.851,146.852,146.844,146.845,32,0,0
2025.09.18,02:41:00,146.845,146.851,146.837,146.845,42,0,0
2025.09.18,02:42:00,146.845,146.845,146.781,146.787,72,0,0
2025.09.18,02:43:00,146.787,146.804,146.777,146.777,61,0,0
2025.09.18,02:44:00,146.777,146.806,146.776,146.805,46,0,0
2025.09.18,02:45:00,146.804,146.825,146.800,146.824,48,0,0
2025.09.18,02:46:00,146.823,146.833,146.812,146.832,43,0,0
2025.09.18,02:47:00,146.833,146.838,146.827,146.837,25,0,0
2025.09.18,02:48:00,146.837,146.846,146.818,146.822,67,0,0
2025.09.18,02:49:00,146.822,146.846,146.821,146.841,29,0,0
2025.09.18,02:50:00,146.836,146.845,146.831,146.844,18,0,0
2025.09.18,02:51:00,146.844,146.866,146.842,146.866,20,0,1
